titre_du_poste,compagnie,date_publication,ville,domaine,specialité,diplome_requis,annee_experience,type_contrat,competences,source_url
Secrétaire Administrative,Fondation Mission de l'Espoir,30 Aout 2024,Cap-Haïtien,Secrétariat,Assistante Administrative,Non précisé,2.0,CDI,"['Bonne connaissance en anglais et en français (Lu, écrit, parlé)', 'Bonne capacité rédactionnelle en anglais et en français', 'Intégrité', 'Dynamisme', 'Discrétion']",https://jobpaw.com/professionals/job-details?idj=16510
Communications Officer,Papyrus S.A.,9 Aout 2024,Port-au-Prince,Communication et Journalisme,Communication,Licence,10.0,CDI,"['Fluency in French, English and Haitian Creole', 'Excellent writing skills in English and French', 'Good understanding of the Haiti context', 'Strong networking skills', 'Deep understanding of Haitian culture, customs and social dynamics']",https://jobpaw.com/professionals/job-details?idj=16511
Communications and Events Lead,Papyrus S.A.,9 Aout 2024,Port-au-Prince,Communication et Journalisme,Communication,Licence,10.0,CDI,"['Fluency in French, English and Haitian Creole', 'Excellent writing skills in English and French', 'Good understanding of the Haiti context and strong networking skills', 'Deep understanding of Haitian culture, customs and social dynamics', 'Able to create persuasive communications using different media tools such as websites, video, audio, and text']",https://jobpaw.com/professionals/job-details?idj=16512
Content and Training Development Lead,Papyrus S.A.,9 Aout 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,5.0,CDI,"['Excellente organisation et gestion de projet', 'Compétence en création de contenu', 'Capacité à gérer plusieurs tâches', 'Excellentes compétences interpersonnelles et de présentation', 'Excellentes compétences en communication']",https://jobpaw.com/professionals/job-details?idj=16513
Coordonnatrice Nationale Programme Groupe d'Entraide,Kindernothilfe - Haiti,10 Aout 2024,Cap-Haitien,Sciences Humaines et Sociales,Sciences du Développement,Licence,5.0,CDD,"['Bonne communication verbale et écrite du français et du créole', ""Capacités à communiquer à l'oral et à l'écrit en espagnol (souhaitées)"", ""Compétences démontrées en leadership et en gestion d'équipe"", 'Aptitude à établir et entretenir des relations de travail efficaces avec diverses parties prenantes', 'Grande capacité de gestion, de coordination et de travail en équipe']",https://jobpaw.com/professionals/job-details?idj=16514
Assistant-e logistique et technique,Institut  de Formation du Sud,13 Aout 2024,Delmas,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,2.0,CDI,"[""Capacité à résister au stress des pics d'activité"", 'Capacité à développer un bon sens relationnel en toutes circonstances', 'Bonne connaissance du Français et du Créole', 'Maitrise des logiciels de bureautique : Word, Excel, PowerPoint', 'Connaissances en infographie']",https://jobpaw.com/professionals/job-details?idj=16515
Coordonnateur-trice régional(e) de terrain Nord,Institut de Formation du Sud,11 Aout 2024,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Gouvernance,Licence,10.0,CDD,"['Leadership', 'Gestion', 'Supervision', 'Capacité à travailler en équipe', 'Compétences en communication']",https://jobpaw.com/professionals/job-details?idj=16516
Coordonnateur des activités de Renforcement de Système de Santé,Health Equity International/St. Boniface Hospital,12 Aout 2024,Cayes,Santé et Professions médicales,Management et Gestion des services de santé,Non précisé,5.0,CDD,"['Capacité avérée en gestion, mise en œuvre, suivi et évaluation', 'Solides capacités de communication interpersonnelle et de travail en équipe', ""Expérience dans le développement d'interventions complexes"", 'Capacités de leadership, d’initiative et de pragmatisme', 'Excellentes capacités de communication écrite et orale, en créole et français']",https://jobpaw.com/professionals/job-details?idj=16517
Finance Grant Manager,Zanmi Lasante/PIH,12 Aout 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Master,5.0,CDD,"['Excellent financial and accounting skills', 'Advanced Excel skills', 'Strong attention to detail and problem solving skills', 'Ability to learn new software and systems quickly', 'Strong interpersonal skills']",https://jobpaw.com/professionals/job-details?idj=16518
Lab Technical Advisor,Health Equity International/St. Boniface Hospital,12 Aout 2024,Cayes,Santé et Professions médicales,Technologie médicale,Master,4.0,CDD,"['Strong understanding of lab improvement techniques', 'Demonstrated knowledge and skills in HIV/AIDS, Family Planning and Maternal, Newborn and Child Health services', 'In-depth knowledge of approaches to quality improvement and health performance', 'Demonstrated training and mentorship skills', 'Proven leadership skills']",https://jobpaw.com/professionals/job-details?idj=16519
Officier de Subventions,DAI-HRASA,12 Aout 2024,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,3.0,CDI,"['Bonne connaissance des règles de l’USAID concernant la gestion du programme de Subventions', 'Expérience dans la rédaction de documents de subventions', 'Capacité à travailler sous pression, avec une supervision limitée', 'Capacité à communiquer dans les deux langues officielles, le créole et le français', 'Excellentes capacités de communication verbale et écrite']",https://jobpaw.com/professionals/job-details?idj=16520
Expert Conseil aux Partenaires,WeltHungerHilfe (Agro Action Allemande),13 Aout 2024,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,4.0,CDD,"['Bonne maitrise du logiciel de comptabilité Quick books', 'Très bonne capacité de communication en Français et en Créole', 'Communiquer et coopérer avec les autres en vue d’atteindre un objectif', 'Capacité à gérer une équipe', ""Activité sur la base des spécifications avec champ d'action et la prise de décision""]",https://jobpaw.com/professionals/job-details?idj=16521
Asistan Lojistik,Fondasyon Depase Fwontyè,13 Aout 2024,La Gonave,Transport et Logistique,Logistique,Licence,2.0,CDD,"['Bon relasyon entèpèsonèl', 'Fleksibilite', 'Onètete', 'Sansiblite kiltirèl', 'Sans inisyativ']",https://jobpaw.com/professionals/job-details?idj=16522
Officier des travaux de réhabilitation des infrastructures de production,CARE Haiti,14 Aout 2024,Petion-Ville,Agriculture – Agroalimentaire,Agronomie,Master,3.0,CDD,"[""Coordination de projets de réhabilitation d'infrastructures de production"", 'Connaissance des programmes Cash for Work', ""Excellentes compétences en gestion d'équipe"", 'Capacité à travailler dans un environnement multiculturel', 'Maîtrise de la collecte de données']",https://jobpaw.com/professionals/job-details?idj=16523
Officier de prévention sur les populations clés et les jeunes,Fondation SEROvie,14 Aout 2024,Port-au-Prince,Santé et Professions médicales,Médecine communautaire,Doctorat,3.0,CDD,"['Connaissance de la problématique des populations clés', 'Maîtrise de la langue française parlée et écrite', 'Maîtrise de la langue créole parlée et écrite', 'Expérience dans la planification et exécution de formation', 'Capacité à travailler au sein d’une équipe multidisciplinaire']",https://jobpaw.com/professionals/job-details?idj=16524
Comptable,Fondation Mission de l'Espoir,30 Aout 2024,Cap-Haïtien,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,5.0,CDI,"['Disponibilité pour des déplacements fréquents', 'Sens de leadership et de responsabilité', 'Capacité managériale', 'Intégrité', 'Discrétion']",https://jobpaw.com/professionals/job-details?idj=16525
Gestionnaire de programme,STRATEGYS,14 Aout 2024,Cayes,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion des ONG,Licence,5.0,CDI,"[""Maîtrise du français, de l'anglais et du créole"", 'Expérience dans la gestion de programmes dans le secteur WASH', 'Expérience de la gestion de partenariats', ""Constitution d'équipes et supervision directe du personnel"", 'Connaissance des principes et des bonnes pratiques de mise en œuvre']",https://jobpaw.com/professionals/job-details?idj=16526
Project Management,Zanmi Lasante/PIH,14 Aout 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Licence,2.0,CDD,"['Résolution de conflits', 'Coaching et mentoring', 'Travail dans des environnements complexes', ""Utilisation des approches de renforcement d'équipe"", 'Compétences avancées en Microsoft Word, Excel et PowerPoint']",https://jobpaw.com/professionals/job-details?idj=16527
Assistant (e) Junior en Transfert Monétaire,Organisation des Nations Unies pour l'Alimentation et l'Agriculture,16 Aout 2024,Petion-Ville,Sciences économiques et politiques,Economie,Licence,1.0,CDD,"['Attention portée aux résultats', ""Avoir l'esprit d'équipe"", 'Sens de la communication', 'Établissement de relations constructives', 'Partage des connaissances et amélioration continue']",https://jobpaw.com/professionals/job-details?idj=16528
Spécialiste National(e) en Transfert Monétaire,Organisation des Nations Unies pour l'Alimentation et l'Agriculture,16 Aout 2024,Port-au-Prince,Sciences économiques et politiques,Economie,Master,2.0,CDD,"['Attention portée aux résultats', ""Avoir l'esprit d'équipe"", 'Sens de la communication', 'Établissement de relations constructives', 'Partage des connaissances et amélioration continue']",https://jobpaw.com/professionals/job-details?idj=16529
Human Resources/Administration Manager,Mercy Corps Haiti,16 Aout 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion des Ressources Humaines,,5.0,CDI,"['Souci du détail', 'Excellentes compétences en négociation', ""Efficacité de l'organisation"", 'Excellentes compétences verbales en anglais', 'Capacité à travailler efficacement avec une équipe']",https://jobpaw.com/professionals/job-details?idj=16530
HIV/AIDS - PHYSICIAN,Catholic Medical Mission Board,16 Aout 2024,Port-au-Prince,Santé et Professions médicales,Médecine Générale,Doctorat,3.0,CDI,"['Ability to read and interpret scientific publications.', 'Ability to interpret and analyze data.', 'Strong interpersonal and communications skills.', 'Strong computer skills (MS Word, MS Excel, MS Power Point minimally, and working knowledge and use of Statistical package preferred)', 'Ability to spend extended periods of time in the field traveling within and around Haiti approximately 60% of the time.']",https://jobpaw.com/professionals/job-details?idj=16531
Donnez-nous svp un break - Agronome,Tacotech,16 Aout 2024,Perches,Agriculture – Agroalimentaire,Agronomie,,,Indéterminée,,https://jobpaw.com/professionals/job-details?idj=16532
Consultant ou d’une consultante pour la réalisation d’une étude documentaire et une évaluation compl,Centre de Formation et d'Encadrement Technique S.A.,16 Aout 2024,Port-au-Prince,Santé et Professions médicales,Santé Publique,Doctorat,10.0,CDD,"['Diplôme d’études supérieures en sciences de la santé', 'Formation ou certification spécialisée en éducation et prévention du VIH/SIDA', ""Au moins 10 ans d'expérience dans la conception et la mise en œuvre de programmes d'éducation à la santé"", 'Expérience démontrée dans l’intégration de sujets spécialisés en matière de santé', ""Connaissance approfondie des meilleures pratiques et normes actuelles en matière d'enseignement des sciences de la santé""]",https://jobpaw.com/professionals/job-details?idj=16533
"Monitoring, Evaluation and Learning Advisor",Fondation CARIS - SUSTAINING IMPACT YOUTH/ RESILIENT YOUTH Project,28 Aout 2024,Pétion-Ville,Sciences Informatiques,Sciences Informatiques,Master,5.0,CDD,"['Conception et mise en œuvre du plan MEL', 'Collecte et gestion des données', 'Suivi régulier des résultats', 'Renforcement des capacités en M&E', 'Analyse des données']",https://jobpaw.com/professionals/job-details?idj=16534
Continuity of Learning Subject Matter Expert,international,20 Aout 2024,Port-au-Prince,Sciences de l’Education,Sciences de l'Education,Master,8.0,,"['évaluer des projets/activités éducatifs', 'expertise en apprentissage socio-émotionnel', ""capacité d'analyser des données qualitatives"", ""expérience dans l'éducation en milieu perturbé"", 'leadership et compétences organisationnelles']",https://jobpaw.com/professionals/job-details?idj=16535
Chargé de marketing,Paryaj Pam,21 Aout 2024,Port-au-Prince,Marketing,Marketing,Licence,2.0,CDI,"['Compétences organisationnelles solides', 'Gestion du temps', 'Excellentes compétences en communication', 'Relations publiques', 'Maîtrise du français et du créole']",https://jobpaw.com/professionals/job-details?idj=16536
Officier GRD,Mercy Corps Haiti,21 Aout 2024,Jeremie,Sciences Humaines et Sociales,Sciences du Développement,Licence,2.0,CDI,"['Capacité à travailler en équipe', 'Solides compétences analytiques et conceptuelles', 'Capacité à faciliter les discussions', 'Bonne compétence de facilitation', 'Excellente présentation et rédaction de rapports']",https://jobpaw.com/professionals/job-details?idj=16537
Assistant (e) Financier (ière) et administratif (tive),WeltHungerHilfe (Agro Action Allemande),21 Aout 2024,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Non précisé,2.0,CDD,"['Bonne compétences de communication orale et écrite en français', 'Bonne connaissance de MS Office', 'Excellentes capacités polyvalentes et de gestion du temps', 'Intégrité et professionnalisme', 'Capacité à travailler seul et en équipe']",https://jobpaw.com/professionals/job-details?idj=16538
Assistant (e) Financier (ière) et administratif (tive),WeltHungerHilfe (Agro Action Allemande),21 Aout 2024,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,2.0,CDD,"['Etudes en comptabilité ou autres disciplines connexes', 'Expérience professionnelle liée au poste', 'Expérience de travail avec un logiciel comptable', 'Bonnes compétences de communication orale et écrite en français', 'Bonne connaissance de MS Office et des bases de données']",https://jobpaw.com/professionals/job-details?idj=16539
Radiology PACS Administrator,Zanmi Lasante/PIH,22 Aout 2024,Mirebalais,Santé et Professions médicales,Technologie médicale,Licence,3.0,CDD,"[""Système d'administration"", 'Gestion de données', 'Maintenance de PACS', 'Connaissance des normes DICOM', 'Compétences en communication']",https://jobpaw.com/professionals/job-details?idj=16540
Facilitatrice Communautaire,Centres pour le Développement et la Santé,23 Aout 2024,Cap-Haitien,Santé et Professions médicales,Médecine communautaire,Non précisé,5.0,CDD,"['Aptitudes à travailler en équipe', 'Sens de responsabilité', 'Sens de l’organisation', 'Bonne méthode de travail', 'Bonne éthique professionnelle']",https://jobpaw.com/professionals/job-details?idj=16541
Facilitatrice Communautaire,Centres pour le Développement et la Santé,22 Aout 2024,Cap-Haitien,Santé et Professions médicales,Médecine communautaire,Licence,5.0,CDD,"['Aptitudes à travailler en équipe', 'Sens de responsabilité', 'Sens de l’organisation', 'Bonne méthode de travail', 'Bonne éthique professionnelle']",https://jobpaw.com/professionals/job-details?idj=16542
Psychologue,Centres pour le Développement et la Santé,23 Aout 2024,Port-au-Prince,Sciences Humaines et Sociales,Psychologie,Licence,2.0,CDI,"['Fournir un support psychologique aux patients', 'Développer des outils adaptés pour la prise en charge psychologique', 'Assurer le suivi des contact des patients index', 'Organiser et planifier des groupes de support', 'Proposer des méthodes simples de gestion du stress']",https://jobpaw.com/professionals/job-details?idj=16543
Chauffeur,Mercy Corps Haiti,26 Aout 2024,Port-au-Prince,Transport et Logistique,Chauffeur,Non précisé,5.0,CDI,"['Aptitudes de bonne conduite (défensive et préventive)', 'Proactivité', 'Flexibilité', ""Sens de l'initiative"", 'Capacité de communiquer avec les membres de l’équipe']",https://jobpaw.com/professionals/job-details?idj=16544
Formateur en Appui Psychosocial,PRODEV,27 Aout 2024,Port-au-Prince,Sciences Humaines et Sociales,Psychologie,Licence,2.0,,"['Compétence en intervention psychosociale', ""Connaissance des techniques d'animation et de formation communautaire"", 'Capacité à établir des relations de confiance avec les membres de la communauté', 'Aptitude à travailler avec divers publics, y compris les populations vulnérables', 'Capacité à exécuter des activités de manière efficace']",https://jobpaw.com/professionals/job-details?idj=16545
Responsable des Achats,prive,26 Aout 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,Master,4.0,CDI,"[""Connaissance de l'approvisionnement et de la gestion des fournisseurs"", 'Expérience dans la gestion du stock', 'Maitrise du français', 'Maitrise du créole', 'Excellentes compétences informatiques (MS Office)']",https://jobpaw.com/professionals/job-details?idj=16546
Responsable de Vente,prive,26 Aout 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Licence,4.0,CDI,"['Supervision', 'Gestion du personnel', 'Développement de stratégie de satisfaction des clients', 'Prise de décisions', 'Créativité']",https://jobpaw.com/professionals/job-details?idj=16547
Instructeur en Citoyenneté et Leadership (CLI),Haitian Education and Leadership Program,27 Aout 2024,Port-au-Prince,Sciences Humaines et Sociales,Sciences Humaines,Licence,,CDI,"['Excellentes aptitudes à la communication', 'flexibilité', 'capacité à travailler dans des situations de forte pression', 'capacité à effectuer plusieurs tâches à la fois', 'capacité exceptionnelle à apprendre rapidement']",https://jobpaw.com/professionals/job-details?idj=16548
Instructeur du Programme d'Implication Sociale Estudiantine (IPRISE),Haitian Education and Leadership Program,27 Aout 2024,Port-au-Prince,Sciences Humaines et Sociales,Sciences Humaines,Licence,3.0,CDI,"['Excellentes aptitudes à la communication', 'Capacité à effectuer plusieurs tâches à la fois', 'Capacité à travailler dans des situations de forte pression', ""Capacité à s'adapter rapidement au changement"", 'Capacité à travailler de manière indépendante et en équipe']",https://jobpaw.com/professionals/job-details?idj=16549
Officier MEAL,PRODEV,27 Aout 2024,Port-au-Prince,Sciences Humaines et Sociales,Sciences Sociales,Licence,3.0,CDD,"['Compétence dans les disciplines connexes en sciences de l’éducation', 'Expérience avérée dans la création et la gestion de base de données', 'Excellente maitrise des logiciels Windows', 'Expérience avérée dans la préparation et la conduite d’enquêtes de terrain', 'Bonne maitrise des techniques d’enquête et différentes méthodes d’échantillonnage']",https://jobpaw.com/professionals/job-details?idj=16551
Electrical Engineer,DAI/ USAID- EAU,27 Aout 2024,Cap-Haitien,Sciences de l’Ingénieur,Eau & Assainissement,Licence,7.0,CDI,"[""Expérience avec l'énergie solaire en Haïti"", 'Connaissance du code du bâtiment et des exigences de construction en Haïti', 'Fluent en français et créole haïtien', None, None]",https://jobpaw.com/professionals/job-details?idj=16552
Assistant·e de Direction,Cooperation Suisse,28 Aout 2024,Petion-Ville,Secrétariat,Assistante Administrative,Licence,3.0,CDD,"[""Capacité d'organisation"", 'Rigueur', 'Honnêteté', 'Fiabilité', 'Discrétion']",https://jobpaw.com/professionals/job-details?idj=16553
Controleur de fret,Federation Handicap International,28 Aout 2024,Port-au-Prince,Transport et Logistique,Logistique,Non précisé,1.0,CDD,"['Contrôle des qualités et quantités des marchandises', 'Organisation du chargement en fonction des types de fret', 'Remplissage de documents de transport', 'Communication des évènements au responsable hiérarchique', 'Assurance de la bonne répartition des charges']",https://jobpaw.com/professionals/job-details?idj=16554
Un/e responsable Logistique Capitale,Medecins Sans Fronti?res France,28 Aout 2024,Port-au-Prince,Transport et Logistique,Logistique,Non précisé,2.0,CDD,"['Gestion de la supply chain logistique', ""Encadrement et formation d'équipes"", 'Gestion des stocks', 'Maintenance de matériel logistique', 'Gestion des infrastructures']",https://jobpaw.com/professionals/job-details?idj=16555
Chef Comptable,MSPP/Laboratoire National de Sante Publique/UCP,29 Aout 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Licence,5.0,CDI,"['Analyser le processus des transactions', 'Participer à la préparation des budgets annuels', 'Vérifier que toutes les transactions sont enregistrées', 'Analyser la situation du Cash-flow Management', 'Vérifier avec précision les requêtes de Fonds']",https://jobpaw.com/professionals/job-details?idj=16556
Comptable Administrateur,WeltHungerHilfe (Agro Action Allemande),29 Aout 2024,Thiotte,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,5.0,CDD,"['Communication en français oral et écrit', 'Expérience de travail avec un logiciel comptable', 'Connaissance de MS Office', 'Techniques d’organisation', 'Gestion du temps']",https://jobpaw.com/professionals/job-details?idj=16557
Médecin de Famille,Medecins Sans Frontières Belgique,30 Aout 2024,Port-a-Piment,Santé et Professions médicales,Médecine communautaire,Doctorat,2.0,CDD,"['Créole et français indispensables', ""Sens de l'organisation"", 'Précision', 'Rigueur', 'Responsabilité']",https://jobpaw.com/professionals/job-details?idj=16558
Directeur/trice technique Adjoint/e de l’Unité de Gestion des Projets (UGP),MSPP / Unite de Gestion du Projet PEPFAR,2 Sept 2024,Delmas,Santé et Professions médicales,Santé Publique,Doctorat,5.0,CDD,"['Connaissance du système national de santé, du MSPP et des priorités sanitaires du pays', 'Proactivité dans l’anticipation et la résolution de problème de mise en oeuvre de projet', 'Maitrise et pratique des différentes phases de la gestion du cycle de projet', 'Capacités d’analyse et de synthèse', ""Expérience dans l'élaboration de récits techniques et budgétaires pour les projets financés par des donateurs""]",https://jobpaw.com/professionals/job-details?idj=16559
Officier de contrôle Conformité,MSPP / Unite de Gestion du Projet PEPFAR,2 Sept 2024,Delmas,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Master,5.0,CDD,"['Excellentes compétences en communication écrite et orale', 'Capacité démontrée de leadership', 'Solides compétences interpersonnelles', ""Excellentes capacités d'analyse et de raisonnement abstrait"", ""Excellentes capacités d'organisation""]",https://jobpaw.com/professionals/job-details?idj=16560
Finance Manager,Project Medishare for Haiti,2 Sept 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Master,3.0,CDD,"['Bonnes aptitudes de la communication', 'Capacité à travailler de façon autonome et en équipe', 'Prendre des initiatives', 'Prioriser les tâches', 'Maintenir un haut niveau de professionnalisme']",https://jobpaw.com/professionals/job-details?idj=16561
Coordonnateur des  Operations,Project Medishare for Haiti,2 Sept 2024,Thomonde,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Non précisé,,CDD,"['Gérer le programme de cantine de scolaire dans la commune de Thomonde', 'Administrer le bureau administratif de Medishare', 'Administrer les résidences de Medishare dans la commune de Thomonde', 'Préparer et faciliter le séjour des visiteurs et des partenaires étrangers', 'Superviser les agents de sécurité']",https://jobpaw.com/professionals/job-details?idj=16562
Spécialiste responsable du service de lutte anti-vectorielle,MSPP/Unite de Coordination des Maladies Infectieuses et Transmissibles,1 Sept 2024,Petion-Ville,Santé et Professions médicales,Médecine communautaire,Non précisé,3.0,CDI,"['Capacité à travailler en équipe', 'Capacité à travailler sous pression', 'Capacité à travailler en contexte difficile', 'Disponibilité à voyager dans les départements', 'Bonnes capacités de communication']",https://jobpaw.com/professionals/job-details?idj=16563
Spécialiste responsable du service de lutte anti-vectorielle          (Vector born disease specialis,MSPP/Unite de Coordination des Maladies Infectieuses et Transmissibles,1 Sept 2024,Port-au-Prince,Santé et Professions médicales,Médecine communautaire,Non précisé,3.0,CDI,"['Capacité à travailler en équipe', 'Sous pression', 'Disponibilité et disposition à voyager', 'Bonnes capacités de communication', 'Leadership']",https://jobpaw.com/professionals/job-details?idj=16564
Gestionnaire de distributions de coupons alimentaires,Catholic Relief Services,2 Sept 2024,Fort-Liberte,Sciences économiques et politiques,Relations Internationales,Licence,5.0,CDI,"['Compétences en réflexion critique et en résolution créative des problèmes', 'Solides compétences en gestion des relations', 'Capacité à contribuer à des rapports écrits', 'Proactif, plein de ressources, axé sur les solutions et les résultats', 'Attention au détail, précision et ponctualité']",https://jobpaw.com/professionals/job-details?idj=16565
Comptable de projets,MSPP/Unite de Coordination des Maladies Infectieuses et Transmissibles,3 Sept 2024,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,5.0,CDD,"['Connaissance des procédures de financement et de décaissement des bailleurs de fonds', 'Bonne connaissance de la langue française', 'Bonne connaissance informatique des logiciels courants', 'Aptitude à travailler en équipe', 'Expérience de travail sur le logiciel ACCPAC']",https://jobpaw.com/professionals/job-details?idj=16566
Assistante des Ressources Humaines et administrative,Paryaj Pam,3 Sept 2024,Mirebalais,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion des Ressources Humaines,Non précisé,2.0,CDI,"['Solides compétences organisationnelles et en gestion du temps', 'Bonne attention aux détails', 'Excellentes compétences en communication et en relations interpersonnelles', 'Excellente capacité de communication en français (parlé et écrit)', 'Connaissances informatiques avancées, y compris la maîtrise de la suite Microsoft Office']",https://jobpaw.com/professionals/job-details?idj=16567
